# time since 2024-01-08 18:00 [h], distance to Jupiter [1e6 km], std of distance to Jupiter [1e6 km]
4.250000000000000000e+00 -1.670835781699004652e-01 7.851756210858498730e-03
2.450000000000000000e+01 1.170187579034439040e-01 9.494508973862161513e-03
2.675000000000000000e+01 2.522675419180832601e-01 9.944291357621690142e-03
2.975000000000000000e+01 3.502549377411952047e-01 1.527291488340828951e-02
4.750000000000000000e+01 -1.949366931511216650e-01 9.388818806973316458e-03
4.825000000000000000e+01 -2.541441202226943918e-01 1.123635972134491567e-02
4.900000000000000000e+01 -3.533069598061309158e-01 1.251884385599961839e-02
5.200000000000000000e+01 -3.795390928789398877e-01 1.695073624926125844e-02
5.275000000000000000e+01 -3.829117897451476127e-01 1.755040007025113202e-02
5.500000000000000000e+01 -4.218855246048726637e-01 1.801815590110805373e-02
7.125000000000000000e+01 3.414809071424963482e-01 1.413731844487146894e-02
7.225000000000000000e+01 3.601564558139985772e-01 1.536411596763172238e-02
7.525000000000000000e+01 4.505006412463947174e-01 1.741886951084461663e-02
7.675000000000000000e+01 4.026829652470869103e-01 1.719990653907436592e-02
7.925000000000000000e+01 4.063342371663285491e-01 1.502349245943425220e-02
